class, NOCom, NCLOC, DCP,,x,,,y,,,x*y,,z,,,x*z,,,,,,,m_nocom,m_ncloc,m_dcp,,,,,rank_nocom,rank_ncloc,rank_dcp,,d_nocom_ncloc^2,d_nocom_dcp^2
./src/main/java/org/jfree/chart/swing/ChartMouseEvent.java,2,28,70.83,,-4.742088608,22.48740436,,-117.039557,13698.25789,,555.0119497,,7.35863924,54.14957146,,-34.89531931,,,,,,,,,,,555.0119497,-34.89531931,,539,439,202,,10000,113569
./src/main/java/org/jfree/chart/swing/ChartMouseListener.java,2,7,88.14,,-4.742088608,22.48740436,,-138.039557,19054.91929,,654.5958105,,24.66863924,608.541762,,-116.9808731,,,,,,,,,,,654.5958105,-116.9808731,,539,519,107,,400,186624
./src/main/java/org/jfree/chart/swing/ChartPanel.java,9,1575,42.73,,2.257911392,5.098163856,,1429.960443,2044786.869,,3228.723975,,-20.74136076,430.2040462,,-46.83215475,,,,,,,,,,,3228.723975,-46.83215475,,139,3,562,,18496,178929
./src/main/java/org/jfree/chart/swing/CrosshairOverlay.java,8,398,29.81,,1.257911392,1.582341071,,252.960443,63988.98574,,318.2018231,,-33.66136076,1133.087208,,-42.34300917,,,,,,,,,,,318.2018231,-42.34300918,,165,47,630,,13924,216225
./src/main/java/org/jfree/chart/swing/DefaultSelectionZoomStrategy.java,4,156,34.73,,-2.742088608,7.519049932,,10.96044304,120.1313116,,-30.05450599,,-28.74136076,826.0658183,,78.81135792,,,,,,,,,,,-30.05450599,78.81135791,,380,183,621,,38809,58081
./src/main/java/org/jfree/chart/swing/editor/ChartEditor.java,2,6,88.46,,-4.742088608,22.48740436,,-139.039557,19331.9984,,659.3378991,,24.98863924,624.4320911,,-118.4983415,,,,,,,,,,,659.3378991,-118.4983415,,539,531,99,,64,193600
./src/main/java/org/jfree/chart/swing/editor/ChartEditorFactory.java,2,5,90,,-4.742088608,22.48740436,,-140.039557,19611.07751,,664.0799877,,26.52863924,703.7686999,,-125.8011579,,,,,,,,,,,664.0799877,-125.8011579,,539,574,60,,1225,229441
./src/main/java/org/jfree/chart/swing/editor/ChartEditorManager.java,3,18,77.78,,-3.742088608,14.00322715,,-127.039557,16139.04903,,475.3932788,,14.30863924,204.7371569,,-53.5441959,,,,,,,,,,,475.3932788,-53.54419589,,466,454,182,,144,80656
./src/main/java/org/jfree/chart/swing/editor/DefaultAxisEditor.java,5,221,50.11,,-1.742088608,3.034872717,,75.96044304,5769.988907,,-132.3298224,,-13.36136076,178.5259614,,23.27667437,,,,,,,,,,,-132.3298224,23.27667436,,311,117,458,,37636,21609
./src/main/java/org/jfree/chart/swing/editor/DefaultChartEditor.java,4,143,38.63,,-2.742088608,7.519049932,,-2.039556962,4.159792601,,5.59264591,,-24.84136076,617.0932044,,68.11721235,,,,,,,,,,,5.59264591,68.11721234,,380,199,598,,32761,47524
./src/main/java/org/jfree/chart/swing/editor/DefaultChartEditorFactory.java,2,10,82.76,,-4.742088608,22.48740436,,-135.039557,18235.68194,,640.3695446,,19.28863924,372.0516037,,-91.4684364,,,,,,,,,,,640.3695446,-91.4684364,,539,503,156,,1296,146689
./src/main/java/org/jfree/chart/swing/editor/DefaultLogAxisEditor.java,2,82,44.59,,-4.742088608,22.48740436,,-63.03955696,3973.985742,,298.9391649,,-18.88136076,356.5057841,,89.53708576,,,,,,,,,,,298.9391649,89.53708575,,539,288,545,,63001,36
./src/main/java/org/jfree/chart/swing/editor/DefaultNumberAxisEditor.java,3,97,35.76,,-3.742088608,14.00322715,,-48.03955696,2307.799033,,179.7682788,,-27.71136076,767.9195152,,103.6983674,,,,,,,,,,,179.7682788,103.6983674,,466,265,618,,40401,23104
./src/main/java/org/jfree/chart/swing/editor/DefaultPlotEditor.java,5,365,34.94,,-1.742088608,3.034872717,,219.960443,48382.5965,,-383.1905819,,-28.53136076,814.0385468,,49.70415855,,,,,,,,,,,-383.1905819,49.70415854,,311,58,620,,64009,95481
./src/main/java/org/jfree/chart/swing/editor/DefaultPolarPlotEditor.java,3,110,41.18,,-3.742088608,14.00322715,,-35.03955696,1227.770552,,131.1211269,,-22.29136076,496.9047645,,83.41624716,,,,,,,,,,,131.1211269,83.41624715,,466,242,575,,50176,11881
./src/main/java/org/jfree/chart/swing/editor/DefaultTitleEditor.java,4,155,38.74,,-2.742088608,7.519049932,,9.960443038,99.21042551,,-27.31241738,,-24.73136076,611.640205,,67.8155826,,,,,,,,,,,-27.31241738,67.81558259,,380,185,596,,38025,46656
./src/main/java/org/jfree/chart/swing/editor/DefaultValueAxisEditor.java,4,226,38.42,,-2.742088608,7.519049932,,80.96044304,6554.593337,,-222.0007085,,-25.05136076,627.5706759,,68.69305095,,,,,,,,,,,-222.0007085,68.69305094,,380,113,599,,71289,47961
./src/main/java/org/jfree/chart/swing/editor/FontChooserPanel.java,3,113,37.91,,-3.742088608,14.00322715,,-32.03955696,1026.53321,,119.8948611,,-25.56136076,653.3831639,,95.6528769,,,,,,,,,,,119.8948611,95.65287689,,466,238,603,,51984,18769
./src/main/java/org/jfree/chart/swing/editor/FontDisplayField.java,3,29,66.28,,-3.742088608,14.00322715,,-116.039557,13465.17878,,434.2303041,,2.80863924,7.88845438,,-10.5101769,,,,,,,,,,,434.2303041,-10.5101769,,466,438,232,,784,54756
./src/main/java/org/jfree/chart/swing/editor/LCBLayout.java,2,147,37.71,,-4.742088608,22.48740436,,1.960443038,3.843336905,,-9.296594596,,-25.76136076,663.6477082,,122.1626554,,,,,,,,,,,-9.296594596,122.1626554,,539,196,605,,117649,4356
./src/main/java/org/jfree/chart/swing/editor/PaintSample.java,2,43,57,,-4.742088608,22.48740436,,-102.039557,10412.07119,,483.8806206,,-6.47136076,41.87851009,,30.68776614,,,,,,,,,,,483.8806206,30.68776613,,539,396,356,,20449,33489
./src/main/java/org/jfree/chart/swing/editor/StrokeChooserPanel.java,2,30,63.86,,-4.742088608,22.48740436,,-115.039557,13234.09967,,545.5277725,,0.38863924,0.151040459,,-1.842961713,,,,,,,,,,,545.5277725,-1.842961715,,539,435,258,,10816,78961
./src/main/java/org/jfree/chart/swing/editor/StrokeSample.java,2,72,50.68,,-4.742088608,22.48740436,,-73.03955696,5334.776881,,346.360051,,-12.79136076,163.6189101,,60.65776614,,,,,,,,,,,346.360051,60.65776613,,539,312,450,,51529,7921
./src/main/java/org/jfree/chart/swing/MouseWheelHandler.java,4,65,53.24,,-2.742088608,7.519049932,,-80.03955696,6406.330679,,219.4755573,,-10.23136076,104.680743,,28.05529778,,,,,,,,,,,219.4755573,28.05529778,,380,332,409,,2304,841
